Age Range,Years of Experience,Industry,Job Title,Highest Level of Education Received,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
34-37,2,Digitalmar000eting,BUSAinessdevelopment&accountmanagement,BachelorsDegree,USA,35000.00,0.00,0.00,Female
34-37,3,CUSAtomer service,CUSAtomer advicate,Associate Degree,USA,35369.00,0.00,0.00,Female
34-37,5,"Travel/CUSAtomer Service ",Quality Analyst,Associate Degree,CANADA,36000.00,0.00,0.00,Female
34-37,14,Tech,"Manager ",Master's Degree,KENYA,36000.00,0.00,0.00,Female
34-37,10,Sales,Sales,Bachelor's Degree,USA,37000.00,0.00,0.00,Female
34-37,1,Healthcate,"Pharmacy technician ",Bachelor's Degree,USA,38000.00,0.00,0.00,Female
34-37,3,Finance,Payroll & Billing Supervisor,"Some College credit, no degree",USA,38480.00,0.00,0.00,Female
34-37,7,"Accounting ",Bookkeeper,Master's Degree,USA,38500.00,0.00,0.00,Female
34-37,20+,"Non profit ","Manager ","Trade, Technical, Vocational Training",USA,39000.00,0.00,0.00,Female
34-37,10,CUSAtomer service,CUSAtomer service agent,Associate Degree,USA,39000.00,0.00,0.00,Female
34-37,1,"Mortgage ","Post Closing Coordinator ",Associate Degree,USA,39520.00,0.00,0.00,Female
34-37,4,"Education ","Special Programs Coordinator ",Associate Degree,USA,40000.00,0.00,0.00,Female
34-37,1,Banking,Service Rep 2- Wire Transfer Operations,Bachelor's Degree,USA,40000.00,0.00,0.00,Female
34-37,8,"Higher Education ",Lecturer,Doctorate Degree,USA,40000.00,0.00,0.00,Female
34-37,17,Sports and entertainment,"Event Coordinator ",Master's Degree,USA,40000.00,0.00,0.00,Female
34-37,2,Fitness,"Pilates Instructor ",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
34-37,1,Finance,"Loan Processor ",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
34-37,3,Legal,Legal Assistant,Bachelor's Degree,USA,40000.00,0.00,0.00,Female
34-37,1,"Recruiting ","Recruiter coordinator ",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
34-37,3,"Event decor ","Stylist ","Some College credit, no degree",USA,40000.00,0.00,0.00,Female
34-37,4,"Care management ","Care manager ",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
34-37,6,Insurance,Member Service Specialist,Bachelor's Degree,USA,41000.00,0.00,0.00,Female
34-37,2,Liquor Sales,Regional Sales Manager,"Some College credit, no degree",USA,41000.00,0.00,0.00,Female
34-37,5,State Government,HR Analyst,Master's Degree,USA,41000.00,0.00,0.00,Female
34-37,9,Trucking,Dispatch,"Some College credit, no degree",USA,41600.00,0.00,0.00,Female
34-37,15,"Restaurant ","Owner/operator ","Some College credit, no degree",USA,41600.00,0.00,0.00,Female
34-37,18,"Early Childhood Education ",ECE,Bachelor's Degree,CANADA,41850.00,0.00,0.00,Female
34-37,15,"Non-profit / Synagogue ",Clergy Assistant,"Some College credit, no degree",USA,42000.00,0.00,0.00,Female
34-37,6,"Medical billing ","Collections ","Some College credit, no degree",USA,42000.00,0.00,0.00,Female
34-37,5,VoIP Telephony,IT Systems Administrator,"Some College credit, no degree",USA,42000.00,0.00,0.00,Female
34-37,8,"Medical billing ",Cash apps,Bachelor's Degree,USA,42000.00,0.00,0.00,Female
34-37,4,Wholesale Shoes,Compliance,Bachelor's Degree,USA,42000.00,0.00,0.00,Female
34-37,3,Social work,Developmental Disabilities Service Coordinator,Bachelor's Degree,USA,42640.00,0.00,0.00,Female
34-37,7,Hospitality,Food and Beverage Assistant Manager,"Some College credit, no degree",USA,42999.00,0.00,0.00,Female
34-37,1,"Digital Marketing ",Digital Strategy Associate,Bachelor's Degree,USA,43000.00,0.00,0.00,Female
34-37,5,Software,Product Manager,Bachelor's Degree,USA,43000.00,0.00,0.00,Female
34-37,5,"Dental ","RDA ","Trade, Technical, Vocational Training",USA,43080.00,0.00,0.00,Female
34-37,13,"Logistics ","Logistics Coordinator ","Some College credit, no degree",USA,43400.00,0.00,0.00,Female
34-37,4,"Education ","Teacher ",Bachelor's Degree,USA,43600.00,0.00,0.00,Female
34-37,15,"Finance ",Loan Officer,Associate Degree,USA,43680.00,0.00,0.00,Female
34-37,7,Medical field,"Pharmacy technician ","Trade, Technical, Vocational Training",USA,44000.00,0.00,0.00,Female
34-37,10,"Education ",Teacher,Bachelor's Degree,USA,45000.00,0.00,0.00,Female
34-37,3,"Benefits administration ","Benefits administer ",Bachelor's Degree,USA,45000.00,0.00,0.00,Female
34-37,2,Law,"Receptionist ",Bachelor's Degree,USA,45000.00,0.00,0.00,Female
34-37,12,Marketing,Marketing Director,Master's Degree,USA,45000.00,0.00,0.00,Female
34-37,9,Non Profit,Executive Assistant,"Some College credit, no degree",USA,45000.00,0.00,0.00,Female
34-37,2,Recruitment,HealthcareRecruiter,BachelorsDegree,USA,45000.00,0.00,0.00,Female
34-37,7,Insurance Software,Senior General Support Technician,"Trade, Technical, Vocational Training",USA,45000.00,0.00,0.00,Female
34-37,13,Media,Consultant,"Some College credit, no degree",USA,45000.00,0.00,0.00,Female
34-37,11,Education,Teacher,Bachelor's Degree,USA,45800.00,0.00,0.00,Female
34-37,13,TV Audience Measurement,Client service executive,Bachelor's Degree,SPAIN,46000.00,0.00,0.00,Female
34-37,14,Social Services,"Assistant Director ",Bachelor's Degree,USA,46050.00,0.00,0.00,Female
34-37,4,Forensics,Forensic Toxicologist 1,Master's Degree,USA,46500.00,0.00,0.00,Female
34-37,10,Nonprofit,Program Manager,Bachelor's Degree,USA,46500.00,0.00,0.00,Female
34-37,5,Logistics,Import Forwarding Agent,Bachelor's Degree,USA,46600.00,0.00,0.00,Female
34-37,5,Insurance,Claims adjUSAter,Bachelor's Degree,USA,47000.00,0.00,0.00,Female
34-37,10,Education,Purchasing Coordinator,"High School Graduate, Diploma or the equivalent (e",USA,47000.00,0.00,0.00,Female
34-37,15,Retail,Store Manager,Bachelor's Degree,USA,47000.00,0.00,0.00,Female
34-37,2,"Healthcare ",Area Coordinator,Bachelor's Degree,USA,47320.00,0.00,0.00,Female
34-37,16,"Higher Education ",Administrative Assistant,"Some College credit, no degree",USA,47500.00,0.00,0.00,Female
34-37,1,Lefal,Legal asaistant,"Some College credit, no degree",CANADA,48000.00,0.00,0.00,Female
34-37,7,MentalHealth,Licensedcounselor,MastersDegree,USA,48000.00,0.00,0.00,Female
34-37,12,Nonprofit,"Executive Director ",Doctorate Degree,USA,48000.00,0.00,0.00,Female
34-37,12,Tech,N/A,"Some College credit, no degree",USA,48000.00,0.00,0.00,Female
34-37,10,Healthcare/teaching,"Special education teacher ",Bachelor's Degree,USA,48000.00,0.00,0.00,Female
34-37,10,Retail,Graphic designer/ marketer,Bachelor's Degree,USA,48000.00,0.00,0.00,Female
34-37,5,Banking,"Compliance analyst ","Some College credit, no degree",USA,48000.00,0.00,0.00,Female
34-37,3,Flood Insurance,"Senior Underwriter ",Bachelor's Degree,USA,48000.00,0.00,0.00,Female
34-37,12,Higher Education,HR Program Specialist,Bachelor's Degree,USA,48500.00,0.00,0.00,Female
34-37,5,Health care,"Switchboard operator ",Bachelor's Degree,CANADA,48750.00,0.00,0.00,Female
34-37,8,"Education ",Teacher,Master's Degree,USA,49000.00,0.00,0.00,Female
34-37,5,Education,Math Teacher,Bachelor's Degree,USA,49000.00,0.00,0.00,Female
34-37,13,Construction,Design manager,Professional Degree,USA,49000.00,0.00,0.00,Female
34-37,12,"Education ","Teacher ",Master's Degree,USA,49000.00,0.00,0.00,Female
34-37,10,Healthcare,Administrative Assistant,Bachelor's Degree,USA,49100.00,0.00,0.00,Female
34-37,2,"Social work ","Case manager ",Bachelor's Degree,USA,49100.00,0.00,0.00,Female
34-37,15,"Retail ","Merchandiser ",Bachelor's Degree,ENGLAND,49600.00,0.00,0.00,Female
34-37,8,State employee,"Social Worker ",Master's Degree,USA,49847.00,0.00,0.00,Female
34-37,1,Recruiting,Associate recruiter,Bachelor's Degree,CANADA,50000.00,0.00,0.00,Female
34-37,1,N/A,Project management,Associate Degree,USA,50000.00,0.00,0.00,Female
34-37,10,Fashion Modelling,Showroom Model,Associate Degree,USA,50000.00,0.00,0.00,Female
34-37,9,N/A,N/A,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
34-37,6,Nonprofit,Office Manager,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
34-37,10,Education,Professor,Master's Degree,USA,50000.00,0.00,0.00,Female
34-37,3,HR,HR,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
34-37,10,"Financial ","Executive Administrative Assistant ","Some College credit, no degree",USA,50000.00,0.00,0.00,Female
34-37,3,Banking,Internal audit,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
34-37,9,Education,Teacher,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
34-37,18,Beauty,Hair stylist,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
34-37,12,"Hospitality ",Sales Manager,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
34-37,10,Non profit,"Education consultant ",Bachelor's Degree,USA,50000.00,0.00,0.00,Female
34-37,10,"Social work ","Case manager ",Bachelor's Degree,USA,50500.00,0.00,0.00,Female
34-37,16,"library services ","librarian ",Master's Degree,USA,50600.00,0.00,0.00,Female
34-37,17,Stenographer,Captioner,"Trade,Technical,VocationalTraining",USA,52000.00,0.00,0.00,Female
34-37,10,Research,Program Assistant IV,Bachelor's Degree,USA,52000.00,0.00,0.00,Female
34-37,5,Healthcare,"Health and Community Interventionist ",Master's Degree,USA,52000.00,0.00,0.00,Female
34-37,11,"Telecommunications ","Client Services Manager ","Some College credit, no degree",USA,52000.00,0.00,0.00,Female
34-37,5,"Construction ",Office Manager,"Some College credit, no degree",USA,52000.00,0.00,0.00,Female
34-37,7,"Marketing ","Graphic designer ",Bachelor's Degree,USA,52000.00,0.00,0.00,Female
34-37,15,"Finance ","Proficiency coach ",Associate Degree,USA,52000.00,0.00,0.00,Female
34-37,4,"packaging ","Receiving Coordinator ","Some High School, No Diploma",USA,52000.00,0.00,0.00,Female
34-37,3,"Pharmaceuticals ","Lab QA Assistant ",Bachelor's Degree,USA,52000.00,0.00,0.00,Female
34-37,10,Collegiate Athletics,Assistant,Master's Degree,USA,52500.00,0.00,0.00,Female
34-37,10,Academia,"Lab technician ",Bachelor's Degree,USA,52894.00,0.00,0.00,Female
34-37,2,Tech,"Digital experience coordinator ",Bachelor's Degree,CANADA,53000.00,0.00,0.00,Female
34-37,6,Healthcare,Credentialing,Bachelor's Degree,USA,53000.00,0.00,0.00,Female
34-37,10,"Financial Services ","Client Service Associate ",Master's Degree,USA,53000.00,0.00,0.00,Female
34-37,15,Communications,Administrative Assistant,"Some College credit, no degree",USA,53000.00,0.00,0.00,Female
34-37,n/a,"State government ","Junior BUSAiness Analyst ",Bachelor's Degree,USA,53496.00,0.00,0.00,Female
34-37,8,"Distribution ",CUSAtomer service,"Some College credit, no degree",USA,54000.00,0.00,0.00,Female
34-37,10,Finance,Finance Assistant,Bachelor's Degree,USA,54000.00,0.00,0.00,Female
34-37,6,Social Media,Social Media Manager,Bachelor's Degree,USA,54000.00,0.00,0.00,Female
34-37,7,Insurance,Insurance Consultant,Bachelor's Degree,USA,54000.00,0.00,0.00,Female
34-37,4,"Healthcare ",Psychiatrist,Doctorate Degree,CANADA,55000.00,0.00,0.00,Female
34-37,9,Fashion,Senior import coordinator (production),"Trade, Technical, Vocational Training",CANADA,55000.00,0.00,0.00,Female
34-37,9,"Nonprofit ","Philanthropy manager ",Associate Degree,ENGLAND,55000.00,0.00,0.00,Female
34-37,14,N/A,Office Manager,"Trade, Technical, Vocational Training",USA,55000.00,0.00,0.00,Female
34-37,10,Marketing/Design,Marketing Manager,Associate Degree,USA,55000.00,0.00,0.00,Female
34-37,7,Healthcare,"Occupational therapy assistant ",Associate Degree,USA,55000.00,0.00,0.00,Female
34-37,12,Education,Special education teacher,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
34-37,8,N/A,CUSAtomer Care Rep,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
34-37,11,"Government ",Placement Coordinator/pretrial release supervisor,Master's Degree,USA,55000.00,0.00,0.00,Female
34-37,9,Counseling,Lpc,Master's Degree,USA,55000.00,0.00,0.00,Female
34-37,15,"Banking ","Branch Supervisor ","Some College credit, no degree",USA,55000.00,0.00,0.00,Female
34-37,9,"Hospitality ",Guest Services Manager,"Some College credit, no degree",USA,55000.00,0.00,0.00,Female
34-37,12,"Photography ",Photography,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
34-37,14,"Insurance ",Audit manager,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
34-37,6,"Insurance ",Senior Analyst,"Some College credit, no degree",USA,55000.00,0.00,0.00,Female
34-37,4,Telecommunications,Data Analyst,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
34-37,8,"E commerce marketing ",Affiliate Manager,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
34-37,10,Healthcare,Data Analyst,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
34-37,5,"Healthcare ",Program Manager,Master's Degree,USA,55000.00,0.00,0.00,Female
34-37,1,"Real Estate Lender ","Executive admin ","Some College credit, no degree",USA,55000.00,0.00,0.00,Female
34-37,5,"Logistics ",Carrier sales,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
34-37,14,Hospitality,Bartender,"Some College credit, no degree",USA,55000.00,0.00,0.00,Female
34-37,3,"Marketing ",Brand Manager,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
34-37,2,Pro Sports and Enterainment,Sourcer (recruiting),Bachelor's Degree,USA,56100.00,0.00,0.00,Female
34-37,10,Behavioral Health,Program Manager,Master's Degree,USA,56700.00,0.00,0.00,Female
34-37,7,Financial,"Officer, Operations Analyst Team Lead","High School Graduate, Diploma or the equivalent (e",USA,57000.00,0.00,0.00,Female
34-37,10,"Early Childhood Non Profit ","Program Associate ",Associate Degree,USA,57000.00,0.00,0.00,Female
34-37,15,Retail,Operations manager,"Some College credit, no degree",USA,57000.00,0.00,0.00,Female
34-37,2,Federal HR Contractor,HR Specialist,Bachelor's Degree,USA,57000.00,0.00,0.00,Female
34-37,5,Education,Instructional Coach,Professional Degree,USA,57132.00,0.00,0.00,Female
34-37,10,Federal Government - DoD,Soldier & Family Readiness Specialist,Master's Degree,USA,57447.00,0.00,0.00,Female
34-37,5,Agriculture/Logistics,Logistics Coordinator,Associate Degree,USA,58000.00,0.00,0.00,Female
34-37,9,Disability non profit,N/A,Bachelor's Degree,USA,58000.00,0.00,0.00,Female
34-37,18,Grocery,Accounting Manager,Bachelor's Degree,USA,58000.00,0.00,0.00,Female
34-37,9,FinTech,"Risk Specialist ","Some College credit, no degree",USA,58000.00,0.00,0.00,Female
34-37,10,Tech,"Sales development rep ",Bachelor's Degree,USA,58000.00,0.00,0.00,Female
34-37,8,Event/media,"Program manager ",Bachelor's Degree,USA,58000.00,0.00,0.00,Female
34-37,13,Education,Teacher,Master's Degree,USA,58000.00,0.00,0.00,Female
34-37,15,Construction,"Civil engineer tech ","High School Graduate, Diploma or the equivalent (e",USA,58240.00,0.00,0.00,Female
34-37,9,"Government ","Training/communication manager ",Master's Degree,USA,58365.00,0.00,0.00,Female
34-37,13,Education,Teacher,Master's Degree,USA,58935.00,0.00,0.00,Female
34-37,2,Medical device,"crm admin ",Bachelor's Degree,USA,59000.00,0.00,0.00,Female
34-37,11,Banking,Commercial Lending Assistant,"Some College credit, no degree",USA,59000.00,0.00,0.00,Female
34-37,6,"Social media ","Social media strategists ",Bachelor's Degree,USA,59500.00,0.00,0.00,Female
34-37,7,Finance,Auditor,Bachelor's Degree,CANADA,60000.00,0.00,0.00,Female
34-37,3,Tech,Technical Writer,Bachelor's Degree,CANADA,60000.00,0.00,0.00,Female
34-37,3,Digital Marketing,"Digital Marketing Coordinator ","Trade, Technical, Vocational Training",CANADA,60000.00,0.00,0.00,Female
34-37,1,"Accounting ",Finance director,Bachelor's Degree,USA,60000.00,0.00,0.00,Female
34-37,9,Higher Education,Associate Director of Advising,Doctorate Degree,USA,60000.00,0.00,0.00,Female
34-37,11,Education,"Social worker ",Master's Degree,USA,60000.00,0.00,0.00,Female
34-37,10,Insurance,Implementation Manager,Bachelor's Degree,USA,60000.00,0.00,0.00,Female
34-37,7,N/A,Digital Designer,Bachelor's Degree,USA,60000.00,0.00,0.00,Female
34-37,10,Academia,Assistant Professor,Doctorate Degree,USA,60000.00,0.00,0.00,Female
34-37,4,"Tattooing ",Tattoer,"High School Graduate, Diploma or the equivalent (e",USA,60000.00,0.00,0.00,Female
34-37,10,Ecommerce,"Marketing director ","Some College credit, no degree",USA,60000.00,0.00,0.00,Female
34-37,14,Animal Health,"Programs Manager ","Some College credit, no degree",USA,60000.00,0.00,0.00,Female
34-37,1,Radio and television,Account Executive,"Some College credit, no degree",USA,60000.00,0.00,0.00,Female
34-37,5,Technology,CUSAtomer support,Bachelor's Degree,USA,60000.00,0.00,0.00,Female
34-37,5,"Human Resources/ Education Management ","HR Supervisor ",Master's Degree,USA,60000.00,0.00,0.00,Female
34-37,5,Education,Elementary teacher (public k-5),Master's Degree,USA,60000.00,0.00,0.00,Female
34-37,8,"Transportation ","Billing specialist ","High School Graduate, Diploma or the equivalent (e",USA,60000.00,0.00,0.00,Female
34-37,4,SaaS,"CRM Administrator ","Some College credit, no degree",USA,60000.00,0.00,0.00,Female
34-37,10,Education,Teacher,Master's Degree,USA,60099.00,0.00,0.00,Female
34-37,15,Research Scientist Wine IndUSAtry,Analytical Chemist,Bachelor's Degree,USA,61000.00,0.00,0.00,Female
34-37,8,"Sales ",BUSAiness development manager,Master's Degree,USA,61000.00,0.00,0.00,Female
34-37,10,"Hospitality ","Marketing coordinator ","Some College credit, no degree",USA,61000.00,0.00,0.00,Female
34-37,7,"Marketing ","Graphic Designer ",Bachelor's Degree,USA,61200.00,0.00,0.00,Female
34-37,3,Health,Scientific Officer,Bachelor's Degree,AUSTRALIA,61256.00,0.00,0.00,Female
34-37,12,Non-profit,"Program Director ",Master's Degree,USA,61261.00,0.00,0.00,Female
34-37,11,"Education ",Liaison Officer (recruiting and Communications),Bachelor's Degree,CANADA,62000.00,0.00,0.00,Female
34-37,4,Notforprofit,Digitalengagementlead,BachelorsDegree,ENGLAND,62000.00,0.00,0.00,Female
34-37,9,"Social Service ","CPS Investigator ",Bachelor's Degree,USA,62000.00,0.00,0.00,Female
34-37,9,Medical,"Office Manager ","Trade, Technical, Vocational Training",USA,62000.00,0.00,0.00,Female
34-37,13,N/A,hr,Bachelor's Degree,USA,62000.00,0.00,0.00,Female
34-37,13,N/A,"Sr. Admin Assistant ",Bachelor's Degree,USA,62000.00,0.00,0.00,Female
34-37,10,"Real estate / property management ","Operations manager ","Some College credit, no degree",USA,62400.00,0.00,0.00,Female
34-37,17,"Healthcare Management  ","Clinic Administrator ",Bachelor's Degree,USA,62500.00,0.00,0.00,Female
34-37,5,Marketing,Manager,Bachelor's Degree,USA,62500.00,0.00,0.00,Female
34-37,6,"Legal & Finance ","Client & Marketing coordinator ",Professional Degree,USA,62500.00,0.00,0.00,Female
34-37,4,Medical equipment planning,Project coord,Bachelor's Degree,USA,62500.00,0.00,0.00,Female
34-37,10,Higher Education,Communications Coordinator,Master's Degree,USA,62500.00,0.00,0.00,Female
34-37,6,Tech,DEI Specialist,Bachelor's Degree,USA,62800.00,0.00,0.00,Female
34-37,3,Non-Profit,Marketing Specialisg,Bachelor's Degree,CANADA,63000.00,0.00,0.00,Female
34-37,15,Furniture / Interiors,Sales Manager,"Some College credit, no degree",USA,63000.00,0.00,0.00,Female
34-37,11,Healthcare,Dietitian,Professional Degree,USA,63000.00,0.00,0.00,Female
34-37,11,Healthcare - Hospital,Licensed Counselor,Professional Degree,USA,63000.00,0.00,0.00,Female
34-37,17,"Non profit ","Director of Mission Integration ","Some College credit, no degree",USA,63000.00,0.00,0.00,Female
34-37,1,"Electricity provider ","BUSAiness analyst ","High School Graduate, Diploma or the equivalent (e",USA,63000.00,0.00,0.00,Female
34-37,10,"Forensics ",Crime Scene Investigator,"Trade, Technical, Vocational Training",USA,63419.00,0.00,0.00,Female
34-37,9,Education,Speech Language Pathologist,Master's Degree,USA,64000.00,0.00,0.00,Female
34-37,17,"Non-Profit ","Software Specialist ","Some College credit, no degree",USA,64000.00,0.00,0.00,Female
34-37,8,Logistics,Logistics Specialist,Bachelor's Degree,USA,64400.00,0.00,0.00,Female
34-37,7,Nonprofit/social services,"Therapist/counselor ",Master's Degree,USA,64400.00,0.00,0.00,Female
34-37,15,"Consulting ","Executive assistant ",Bachelor's Degree,USA,65000.00,0.00,0.00,Female
34-37,9,Government,International Relations Manager,Master's Degree,USA,65000.00,0.00,0.00,Female
34-37,8,Fashion,"Operations manager ",Associate Degree,USA,65000.00,0.00,0.00,Female
34-37,8,Education,"Tutoring Coordinator ",Bachelor's Degree,USA,65000.00,0.00,0.00,Female
34-37,13,Pharmacy,Pharmacy Technician,Bachelor's Degree,USA,65000.00,0.00,0.00,Female
34-37,6,"Education ","Teacher ",Bachelor's Degree,USA,65000.00,0.00,0.00,Female
34-37,8,HazardoUSA Waste,"HazardoUSA Waste Profiler ","High School Graduate, Diploma or the equivalent (e",USA,65000.00,0.00,0.00,Female
34-37,7,"Property Management ","HR Generalist ","High School Graduate, Diploma or the equivalent (e",USA,65000.00,0.00,0.00,Female
34-37,13,Saas,CUSAtomer Success,Master's Degree,USA,65000.00,0.00,0.00,Female
34-37,9,Education,"Special Education Teacher ",Master's Degree,USA,65000.00,0.00,0.00,Female
34-37,11,Marketing,Coordinator,"Some College credit, no degree",USA,65000.00,0.00,0.00,Female
34-37,3,Hospitality,Catering Sales Manager,"Some College credit, no degree",USA,65000.00,0.00,0.00,Female
34-37,10,Advertising,Assistant Manager,"Some College credit, no degree",USA,65000.00,0.00,0.00,Female
34-37,10,Medicare,"Contracting specialist ","Some College credit, no degree",USA,65000.00,0.00,0.00,Female
34-37,16,Public health,"Front office ",Associate Degree,USA,65000.00,0.00,0.00,Female
34-37,8,"Medicine ","Care Team Manager ",Bachelor's Degree,USA,65000.00,0.00,0.00,Female
34-37,4,Law,Marketing,Master's Degree,USA,65000.00,0.00,0.00,Female
34-37,10,"Marketing ","Copyeditor ",Master's Degree,USA,65000.00,0.00,0.00,Female
34-37,7,"Technology ",Virtual sales account manager,"High School Graduate, Diploma or the equivalent (e",USA,65000.00,0.00,0.00,Female
34-37,4,"Higher Education ","Assistant Registrar ",Bachelor's Degree,USA,65000.00,0.00,0.00,Female
34-37,9,Hospital/healthcare,Communications coordinator,Bachelor's Degree,USA,65000.00,0.00,0.00,Female
34-37,4,Education,Part- time college instructor,Master's Degree,USA,65000.00,0.00,0.00,Female
34-37,5,"e-commerce, biotech, food and beverage ","CUSAtomer Experience Manager ",Bachelor's Degree,USA,65000.00,0.00,0.00,Female
34-37,13,Education,"Kindergarten teacher ",Master's Degree,USA,65000.00,0.00,0.00,Female
34-37,9,"Non Profit Fundraising ",Database Manager,Bachelor's Degree,USA,65000.00,0.00,0.00,Female
34-37,7,Tech,"Executive Assistant ",Master's Degree,USA,65000.00,0.00,0.00,Female
34-37,7,Fundraising,Assistant Director,Master's Degree,USA,65000.00,0.00,0.00,Female
34-37,8,"Nonprofit ",Program Director,Master's Degree,USA,65350.00,0.00,0.00,Female
34-37,8,"Education ","Strat 1 Teacher ",Master's Degree,USA,65500.00,0.00,0.00,Female
34-37,5,"Healthcare ",Lead Trainer,Bachelor's Degree,USA,66000.00,0.00,0.00,Female
34-37,6,Mental Health/Healthcare,Social Worker,Master's Degree,USA,66000.00,0.00,0.00,Female
34-37,9,"Insurance ","Commercial account manager ",Associate Degree,USA,66133.00,0.00,0.00,Female
34-37,11,"Higher Education/University ",N/A,Master's Degree,USA,66500.00,0.00,0.00,Female
34-37,14,Finance,Financial Analyst,Master's Degree,USA,66950.00,0.00,0.00,Female
34-37,4,"Government ","Admin analyst ",Bachelor's Degree,USA,67000.00,0.00,0.00,Female
34-37,9,"Mental health ","Social worker ",Master's Degree,USA,67000.00,0.00,0.00,Female
34-37,5,Healthcare,"Director ",Bachelor's Degree,USA,67000.00,0.00,0.00,Female
34-37,3,Legal,Client service director,No Schooling Completed,USA,67000.00,0.00,0.00,Female
34-37,11,"Higher Education ","Senior program coordinator ",Master's Degree,USA,67100.00,0.00,0.00,Female
34-37,2,nonprofit,people operations associate,Master's Degree,USA,67500.00,0.00,0.00,Female
34-37,7,"Property Management ","Accountant ","Some College credit, no degree",USA,67500.00,0.00,0.00,Female
34-37,12,Higher Education,"Associate Director, Fundraising  ",Bachelor's Degree,USA,67750.00,0.00,0.00,Female
34-37,15,Banking,Bsa Aml manager,Bachelor's Degree,USA,68000.00,0.00,0.00,Female
34-37,10," Noon profit ",N/A,Bachelor's Degree,USA,68000.00,0.00,0.00,Female
34-37,1,Edtech,CUSAtomer success manager,Bachelor's Degree,USA,68000.00,0.00,0.00,Female
34-37,10,Sporting Goods,Sales & Inventory Manager,Bachelor's Degree,USA,68000.00,0.00,0.00,Female
34-37,5,Consulting,Healthcare Consultant,Master's Degree,USA,68000.00,0.00,0.00,Female
34-37,15,Nonprofit,"Manager of finance and operations ",Associate Degree,USA,68000.00,0.00,0.00,Female
34-37,6,"Education ",Dean of students,Bachelor's Degree,USA,68000.00,0.00,0.00,Female
34-37,14,Public Relations,Executive Coordinator,Associate Degree,USA,68000.00,0.00,0.00,Female
34-37,6,N/A,Service coordinator,Master's Degree,USA,68000.00,0.00,0.00,Female
