Age Range,Years of Experience,Industry,Job Title,Highest Level of Education Received,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
50-53,20+,Cpg,HR BUSAiness Partner,"Some College credit, no degree",CANADA,130000.00,0.20,NULL,Female
50-53,20+,Tech,VP Product,Master's Degree,USA,200000.00,0.20,0.00,Female
50-53,20+,Not for Profit,Director,Master's Degree,USA,40000.00,500.00,0.00,Female
50-53,10,"ReligioUSA ",Marketing Coordinator,Bachelor's Degree,USA,43000.00,500.00,0.00,Female
50-53,7,Healthcare,"Practice Administrator ",Master's Degree,USA,89500.00,800.00,0.00,Female
50-53,12,Behavioral Health,Project Specialist,Bachelor's Degree,USA,41600.00,1000.00,0.00,Female
50-53,15,N/A,Executive Assistant,"High School Graduate, Diploma or the equivalent (e",USA,60150.00,1500.00,0.00,Female
50-53,20+,Tech,"Data Analysis ",Bachelor's Degree,USA,85500.00,1500.00,0.00,Female
50-53,20+,Banking,Banking Center Manager,Bachelor's Degree,USA,65500.00,2000.00,0.00,Female
50-53,17,"Civil Engineering ",Project Administrator,"Some College credit, no degree",USA,88000.00,2000.00,0.00,Female
50-53,15,Investment/Property Development,"Administration Assistant ",Bachelor's Degree,AUSTRALIA,100000.00,2500.00,0.00,Female
50-53,17,Financial services,"BUSAiness development consultant ",Bachelor's Degree,CANADA,65000.00,3000.00,0.00,Female
50-53,20+,Hospital IT,"System Analyst ",Bachelor's Degree,USA,78000.00,3000.00,0.00,Female
50-53,20+,"Education ",High School Teacher,Master's Degree,USA,106000.00,3800.00,0.00,Female
50-53,10,"Insurance ",Client Marketing,Master's Degree,USA,55000.00,4000.00,0.00,Female
50-53,15,CUSAtomer Service,"Training manager ",Bachelor's Degree,USA,65000.00,5000.00,0.00,Female
50-53,7,"Transportation ","Health & Safety Supervisor ","Some College credit, no degree",USA,70000.00,5000.00,0.00,Female
50-53,12,"Manufacturing ","Occupational health nurse ",Associate Degree,USA,75000.00,5000.00,0.00,Female
50-53,20+,Healthcare,CRNA,Master's Degree,USA,210000.00,5000.00,0.00,Female
50-53,20+,"Automotive ",Purchasing and logistics,Bachelor's Degree,USA,90000.00,6000.00,0.00,Female
50-53,20+,Learning and development,Senior learning consultant,Master's Degree,USA,110000.00,6000.00,0.00,Female
50-53,20+,N/A,Event Planner,Bachelor's Degree,USA,102000.00,6600.00,0.00,Female
50-53,20+,Manufacturing,Marketing Manager,Bachelor's Degree,USA,85000.00,7000.00,0.00,Female
50-53,20+,IT,Implementation,"Some College credit, no degree",USA,92800.00,7500.00,0.00,Female
50-53,20+,"Financial Services ","Integration Associate ","Some College credit, no degree",USA,66000.00,8000.00,0.00,Female
50-53,12,Staffing,Sales Manager,Bachelor's Degree,USA,72000.00,8000.00,NULL,Female
50-53,20+,"Legal ","Sr Paralegal ","Some College credit, no degree",USA,130000.00,8000.00,NULL,Female
50-53,3,Retail,Marketing Mng,"Some College credit, no degree",USA,45000.00,10000.00,0.00,Female
50-53,20+,Real estate,Senior Processor,"Some College credit, no degree",USA,80000.00,10000.00,0.00,Female
50-53,20+,Legal,"Paralegal ","Trade, Technical, Vocational Training",USA,80000.00,10000.00,0.00,Female
50-53,7,Nonprofit,Manager,"HighSchoolGraduate,Diplomaortheequivalent(e.g.GED)",USA,80000.00,10000.00,0.00,Female
50-53,10,Technology,CSM,Bachelor's Degree,USA,95000.00,10000.00,0.00,Female
50-53,20+,SUSAtainability consulting,Vice President,Master's Degree,USA,140000.00,10000.00,0.00,Female
50-53,20+,Healthcare Consulting,"Managing Consultant ",Master's Degree,USA,159000.00,10000.00,5000.00,Female
50-53,20+,retail,"store manager ","Some College credit, no degree",CANADA,79000.00,12000.00,0.00,Female
50-53,13,Tech,"Organizational Change Manager ",Master's Degree,USA,127750.00,12000.00,0.00,Female
50-53,20+,"Media, Film, Television ","Director, Accounting ",Bachelor's Degree,USA,120000.00,15000.00,0.00,Female
50-53,20+,Tech,"Program management ",Bachelor's Degree,USA,148000.00,17000.00,0.00,Female
50-53,20+,Finance,AVP,Master's Degree,USA,98000.00,20000.00,0.00,Female
50-53,20+,Medical,Director of HR,"High School Graduate, Diploma or the equivalent (e",USA,112000.00,20000.00,0.00,Female
50-53,16,Banking,Branch Manager,Associate Degree,USA,75000.00,25000.00,0.00,Female
50-53,4,Manufacturing/Marketing,Channel Marketing Manager,Bachelor's Degree,USA,93500.00,25000.00,0.00,Female
50-53,20+,Marketing Technology,"Sr Director client a services ",Bachelor's Degree,USA,160000.00,25000.00,0.00,Female
50-53,20+,"Healthcare ","VP-Strategic Partnerships ","High School Graduate, Diploma or the equivalent (e",USA,171000.00,25000.00,NULL,Female
50-53,19,Tech,"Sr manager, global marketing operations ",Bachelor's Degree,USA,133000.00,26600.00,0.00,Female
50-53,20+,retail mgmt,"general manager ",Bachelor's Degree,USA,104400.00,30000.00,0.00,Female
50-53,20+,"HR / Insurance Tech ","Director of Partnership ",Bachelor's Degree,USA,180000.00,30000.00,0.00,Female
50-53,20+,Sales Operations,Directoe,Master's Degree,USA,152000.00,31000.00,0.00,Female
50-53,20+,"Marketing ",VP,Bachelor's Degree,USA,155000.00,32000.00,0.00,Female
50-53,20+,N/A,N/A,Bachelor's Degree,USA,163000.00,33000.00,0.00,Female
50-53,20+,Salesforce Recruiting,Partnership Manager,Bachelor's Degree,USA,85000.00,40000.00,0.00,Female
50-53,20+,It,VP,Master's Degree,USA,180000.00,40000.00,0.00,Female
50-53,20+,Software/LegalTech,Director,Master's Degree,USA,200000.00,50000.00,NULL,Female
50-53,20+,"investment banking ",managing director HR,Bachelor's Degree,USA,300000.00,50000.00,25000.00,Female
50-53,20+,Finance,Director of Client Service,"Some College credit, no degree",USA,162000.00,53000.00,0.00,Female
50-53,10,"E-commerce ","Vp ",Master's Degree,USA,120000.00,60000.00,75000.00,Female
50-53,20+,Pharma,Executive sales rep,Bachelor's Degree,USA,135000.00,65000.00,0.00,Female
50-53,15,Tech,Sr. Director corp dev,Professional Degree,USA,180000.00,80000.00,0.00,Female
50-53,17,Fintech,Svp,Bachelor's Degree,USA,260000.00,100000.00,25000.00,Female
50-53,20+,Consulting,Client Partner,Master's Degree,USA,285000.00,100000.00,0.00,Female
50-53,20+,"Technology ",Director of Sales,Bachelor's Degree,USA,180000.00,220000.00,0.00,Female
50-53,20+,"Healthcare ","Manager ",Bachelor's Degree,USA,35000.00,0.00,0.00,Male
50-53,20+,DentalMedicine:Orthodontists,Orthodontist,DoctorateDegree,GERMANY,50000.00,0.00,0.00,Male
50-53,15,SaaS,SDR,Bachelor's Degree,USA,55000.00,0.00,0.00,Male
50-53,n/a,Library,Instruction Librarian,Master's Degree,USA,56000.00,0.00,0.00,Male
50-53,20+,Printing,Sr. Acct Mgr.,Associate Degree,USA,62000.00,0.00,0.00,Male
50-53,10,Tech,N/A,Associate Degree,USA,80000.00,0.00,0.00,Male
50-53,20+,"Education ","Teacher ",Master's Degree,USA,92000.00,0.00,0.00,Male
50-53,20+,Education,Instructional coach,Master's Degree,USA,121000.00,0.00,0.00,Male
50-53,18,Philanthropy,IT & Operations Manager,"High School Graduate, Diploma or the equivalent (e",USA,128750.00,0.00,0.00,Male
50-53,10,"Entertainment ",Author,Bachelor's Degree,"THAILAND ",150000.00,0.00,0.00,Male
50-53,20+,Post production,CG FX artist,"Trade, Technical, Vocational Training",USA,160000.00,0.00,0.00,Male
50-53,20+,Engineering,Electrical Engineer,Bachelor's Degree,AUSTRALIA,170000.00,0.00,0.00,Male
50-53,20+,Transportation,General Manager,"Some College credit, no degree",USA,180000.00,0.00,0.00,Male
50-53,20+,Fintech,VP Product,Master's Degree,USA,200000.00,0.00,0.00,Male
50-53,20+,Information technology,Cto,"Some College credit, no degree",USA,200000.00,0.00,0.00,Male
50-53,20+,Software,VP,Bachelor's Degree,USA,220000.00,0.00,0.00,Male
50-53,20+,"Government ",Air Traffic Controller,"High School Graduate, Diploma or the equivalent (e",USA,225000.00,0.00,0.00,Male
50-53,10,"Produce ","Produce Salesmen ",Bachelor's Degree,USA,300000.00,0.00,0.00,Male
50-53,16,Médical field,"Plastic surgeon ",Doctorate Degree,USA,460000.00,0.00,0.00,Male
50-53,15,Public accounting,Managing partner,Bachelor's Degree,CANADA,675000.00,0.00,0.00,Male
50-53,20+,Health Care,Critical Care Physician (Intensivist),Doctorate Degree,USA,782000.00,0.00,0.00,Male
50-53,20+,"Real estate ","Real estate agent ",Bachelor's Degree,USA,800000.00,0.00,0.00,Male
50-53,20+,"Consulting ","Partner ",Master's Degree,USA,375000.00,0.00,0.00,Male
50-53,20+,"Retail grocery manager ","general manager ",Bachelor's Degree,USA,75000.00,0.00,0.00,Male
50-53,20+,Lawenforcement,Patrolofficer,"HighSchoolGraduate,Diplomaortheequivalent(e.g.GED)",ENGLAND,72000.00,0.00,NULL,Male
50-53,20+,"Property ",Property Developer and Reconstruction consultant,"High School Graduate, Diploma or the equivalent (e",AUSTRALIA,NULL,0.10,0.00,Male
50-53,20+,Telecom,"Sr Director of Sotware Development ",Bachelor's Degree,USA,215000.00,0.25,0.00,Male
50-53,20+,"Healthcare ","Diagnostic Imaging Engineer ",Associate Degree,USA,157000.00,2500.00,0.00,Male
50-53,10,Banking,Certified Regulatory Compliance Manager,Bachelor's Degree,USA,100000.00,4000.00,0.00,Male
50-53,20+,Manufacturing / distribution,Marketing Manager,Bachelor's Degree,USA,110000.00,6000.00,NULL,Male
50-53,15,Construction,Projectmanager,Bachelor's Degree,USA,70000.00,10000.00,0.00,Male
50-53,20+,"Financial Services ","Software Engineer ","Some College credit, no degree",USA,165000.00,10000.00,0.00,Male
50-53,20+,"Telecommunications ","Software engineer ",Bachelor's Degree,USA,138700.00,13870.00,0.00,Male
50-53,20+,Telecom,Community Manager,"High School Graduate, Diploma or the equivalent (e",USA,128000.00,15000.00,0.00,Male
50-53,15,Software,Staff software engineer,"Some College credit, no degree",USA,172000.00,17000.00,0.00,Male
50-53,20+,"IndUSAtrial Automation ","Regional Account Manager ",Bachelor's Degree,USA,86000.00,20000.00,3000.00,Male
50-53,20+,Retail management,Operations Manager,Bachelor's Degree,USA,115000.00,20000.00,25000.00,Male
50-53,20+,N/A,VP,Bachelor's Degree,USA,160000.00,20000.00,0.00,Male
50-53,20+,Consulting,Director,Bachelor's Degree,USA,180000.00,25000.00,0.00,Male
50-53,20+,Airline,Captain,Bachelor's Degree,CANADA,300000.00,25000.00,0.00,Male
50-53,20+,Commercial Banking,Portfolio Manager,Master's Degree,USA,145000.00,35000.00,0.00,Male
50-53,16,Medical,"Transplant Surgeon   ",Doctorate Degree,USA,875000.00,35000.00,NULL,Male
50-53,20+,Finance,Managing Director,Master's Degree,USA,165000.00,55000.00,0.00,Male
50-53,20+,IT,Architect,Bachelor's Degree,USA,150000.00,60000.00,0.00,Male
50-53,20+,"Software ","Director ",Bachelor's Degree,USA,200000.00,80000.00,0.00,Male
50-53,20+,Retail,Sr Director,Master's Degree,USA,250000.00,90000.00,75000.00,Male
50-53,20+,"Biotechnology ",Regulatory Consultant,Doctorate Degree,USA,300000.00,90000.00,0.00,Male
50-53,20+,"Tech ",VP,Master's Degree,USA,200000.00,100000.00,29000.00,Male
50-53,20+,Tech,VP,Bachelor's Degree,USA,275009.00,100000.00,75000.00,Male
50-53,20+,"Electronics ",Principal Engineer,Doctorate Degree,USA,300000.00,200000.00,0.00,Male
50-53,20+,Public sector,CFO,Bachelor's Degree,CANADA,600000.00,250000.00,0.00,Male
50-53,20+,Manufacturing,CEO,Bachelor's Degree,USA,260000.00,260000.00,0.00,Male
50-53,20+,Finance,"Portfolio manager ",Professional Degree,USA,330000.00,670000.00,0.00,Male
50-53,17,Payments (fintech),"SVP ",Bachelor's Degree,USA,250000.00,0.00,NULL,Prefer Not
