Age Range,Years of Experience,Industry,Job Title,Highest Level of Education Received,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
18-21,1,Advertising,"Sales and Marketing Associate/ Coordinator ",Bachelor's Degree,USA,60000.00,0.00,0.00,Female
18-21,2,"Adult entertainment ",Content creator,"High School Graduate, Diploma or the equivalent (e",USA,150000.00,0.00,0.00,Female
18-21,4,"Adult entertainment ","Pornstar ",No Schooling Completed,USA,312000.00,5000.00,0.00,Male
18-21,4,"Adult entertainment ","Store Manager ","Some College credit, no degree",USA,45000.00,4000.00,0.00,Female
18-21,1,Advertising,Assistant Account Executive,Bachelor's Degree,USA,45000.00,0.00,0.00,Female
18-21,1,Advertising,Associate Strategist,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
18-21,1,Advertising,Search Engine Marketing Associate,Bachelor's Degree,USA,52000.00,0.00,0.00,Female
18-21,1,"Advertising ","Digital analyst ",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
18-21,1,"Advertising ",Assistant Account Executive,Bachelor's Degree,USA,45000.00,0.00,0.00,Female
18-21,1,"Advertising ","Associate Project Manager ",Bachelor's Degree,USA,45000.00,0.00,0.00,Female
18-21,2,"Advertising ",Media Buyer,Bachelor's Degree,USA,45000.00,0.00,0.00,Female
18-21,1,"Advertising ","Strategy Coordinator ",Bachelor's Degree,USA,50000.00,1000.00,0.00,Female
18-21,1,"Advertising ",Analyst,Bachelor's Degree,USA,64000.00,6000.00,0.00,Female
18-21,3,"Advertising ",Administrative Assistant,"High School Graduate, Diploma or the equivalent (e",USA,62000.00,6000.00,0.00,Female
18-21,1,"Advertising ",AAE,Bachelor's Degree,USA,50000.00,0.00,0.00,Female
18-21,1,"Advertising ",I don't really know,"Some High School, No Diploma",USA,18000.00,500.00,0.00,Female
18-21,1,Aerospace,Manufacturing Engineer,Bachelor's Degree,USA,79000.00,0.00,0.00,Male
18-21,1,Aerospace,"BUSAiness Apprentice ",Bachelor's Degree,USA,19000.00,2000.00,0.00,Male
18-21,1,"Aerospace ","Structural Design Engineer ",Bachelor's Degree,USA,66500.00,6000.00,2000.00,Male
18-21,1,"Aerospace ",Systems Engineer,Bachelor's Degree,USA,79000.00,0.00,7500.00,Female
18-21,1,"Aerospace ",Mechanical Engineering Leadership Development Prog,Bachelor's Degree,USA,78500.00,0.00,0.00,Female
18-21,2,"Aerospace ","Aerospace Engineer ",Bachelor's Degree,USA,92500.00,8000.00,0.00,Male
18-21,1,"Aerospace ",Software Engineer,Bachelor's Degree,USA,80000.00,0.00,2000.00,Male
18-21,1,"Aerospace ",Radio frequency engineer,Bachelor's Degree,USA,65000.00,5000.00,0.00,Male
18-21,2,"Aerospace ","Systems Engineer ",Bachelor's Degree,USA,80000.00,6000.00,0.00,Female
18-21,1,"Aerospace ",Propulsion Analyst,Bachelor's Degree,USA,91000.00,0.00,3500.00,Male
18-21,1,"Aerospace ",Program Manager,Bachelor's Degree,USA,70000.00,0.00,0.00,Male
18-21,1,"Aerospace ",Systems Engineer,Bachelor's Degree,USA,68000.00,140.00,0.00,Female
18-21,1,Marketing,Affiliate Marketing Manager,Bachelor's Degree,USA,75000.00,7500.00,0.00,Female
18-21,1,Agency staffing,Talent acquistion specialist,Bachelor's Degree,USA,45000.00,5000.00,0.00,Female
18-21,4,Agriculture,CUSAtomerexperience,"SomeCollegecredit,nodegree",CANADA,30000.00,11000.00,5000.00,Female
18-21,1,"Agriculture ","Administrative Assistant ",Bachelor's Degree,USA,36400.00,0.00,0.00,Female
18-21,6,"Agriculture ","Personal Assistant ","Some College credit, no degree",USA,36000.00,0.00,0.00,Male
18-21,3,"Agriculture ","Certified Energy Specialist ",Bachelor's Degree,USA,48000.00,17500.00,0.00,Male
18-21,1,"Agriculture ",Marketing Assistant (Student) 34 hours a week.,"Some College credit, no degree",USA,26000.00,0.00,0.00,Female
18-21,4,Technology,"Growth Marketing Manager ","High School Graduate, Diploma or the equivalent (e",USA,71000.00,0.00,0.00,Male
18-21,1,"Airline ","Procurement Intern ",Bachelor's Degree,USA,55000.00,0.00,0.00,Female
18-21,1,Health Care,Speech Pathologist (new grad),Bachelor's Degree,AUSTRALIA,75000.00,0.00,0.00,Female
18-21,1,Technology,Data Analyst,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
18-21,1,Animal,Senior Dog Trainer,"High School Graduate, Diploma or the equivalent (e",USA,60000.00,0.00,0.00,Female
18-21,2,Animation,Scene setup artist,"Trade, Technical, Vocational Training",CANADA,46800.00,0.00,0.00,Female
18-21,2,Apartment,"Property manager ","Some College credit, no degree",USA,52000.00,0.00,0.00,Female
18-21,1,"Appliances ",Market development rep,Bachelor's Degree,USA,55000.00,12000.00,0.00,Female
18-21,4,Aquatics,Aquatics lifeguard,"Some College credit, no degree",CANADA,30000.00,0.00,0.00,Female
18-21,3,"Aquatics ","Lifeguard ","Some College credit, no degree",USA,10000.00,0.00,0.00,Male
18-21,2,Arboriculture,Climber,"Trade,Technical,VocationalTraining",CANADA,56160.00,0.00,0.00,Male
18-21,1,Architecture,Architectural assistant,Bachelor's Degree,ENGLAND,21000.00,0.00,0.00,Female
18-21,2,Architecture,"Revit Technician ",Associate Degree,USA,45000.00,0.00,0.00,Female
18-21,2,"Architecture ",Junior Architectural Designer,Bachelor's Degree,CANADA,40000.00,0.00,5000.00,Male
18-21,1,"Architecture ",N/A,Bachelor's Degree,USA,59000.00,0.00,0.00,Male
18-21,1,"Architecture ","Architectural Intern ",Master's Degree,USA,37444.00,1600.00,0.00,Male
18-21,1,"Asset Management ",Buyside Investmebt Analyst,Bachelor's Degree,USA,80000.00,20000.00,10000.00,Female
18-21,1,Auditing,Staff Accountant (recent grad),Bachelor's Degree,CANADA,58000.00,0.00,2000.00,Female
18-21,1,Auditing,first year audit,Master's Degree,USA,70000.00,0.00,0.00,Female
18-21,5,Automotive,Operations Manager,Associate Degree,USA,30000.00,0.00,0.00,Male
18-21,3,Automotive,CEO,Master's Degree,USA,150000.00,0.00,0.00,Male
18-21,2,Automotive,"Application Engineer ",Associate Degree,USA,63500.00,0.00,0.00,Female
18-21,1,Automotive,"Data Analyst ",Bachelor's Degree,USA,60000.00,0.00,0.00,Female
18-21,1,Automotive,Technology Rotation,Bachelor's Degree,USA,80000.00,0.00,6000.00,Male
18-21,1,Automotive,Service Advisor,Bachelor's Degree,USA,36000.00,0.00,0.00,Female
18-21,1,Automotive,"Website Coordinator ",Bachelor's Degree,USA,37000.00,0.00,0.00,Female
18-21,1,Automotive,"Mechanical Engineer ",Bachelor's Degree,USA,82000.00,8200.00,0.00,Female
18-21,2,Automotive,Service writer,"High School Graduate, Diploma or the equivalent (e",USA,35000.00,0.00,0.00,Male
18-21,1,Automotive,Design intern,"Some College credit, no degree",USA,45000.00,0.00,0.00,Male
18-21,2,Automotive,Sales and Marketing Analyst,"Some College credit, no degree",CANADA,52500.00,0.00,0.00,Male
18-21,2,Automotive,Mechanical Engineering,Bachelor's Degree,USA,71000.00,0.00,0.00,Male
18-21,2,Automotive,Ford automotive technician/mechanic,"Trade, Technical, Vocational Training",USA,86000.00,0.00,0.00,Male
18-21,4,Automotive,Service Advisor,"Some College credit, no degree",USA,65000.00,1000.00,0.00,Male
18-21,3,Automotive,Service Advisor,"Some College credit, no degree",USA,75000.00,1500.00,0.00,Male
18-21,2,Automotive,Electrical Engineer intern,"Some College credit, no degree",USA,60000.00,2000.00,0.00,Male
18-21,3,"Automotive ",Commodity Buyer,Bachelor's Degree,USA,70000.00,5000.00,0.00,Female
18-21,1,"Automotive ","Car sales ","High School Graduate, Diploma or the equivalent (e",AUSTRALIA,47000.00,25000.00,0.00,Female
18-21,4,"Automotive ","Service Consultant ","Some College credit, no degree",USA,105000.00,0.00,0.00,Male
18-21,1,"Automotive ","Sales and Leasing Consultant ","Some College credit, no degree",USA,130000.00,0.00,0.00,Male
18-21,3,"Automotive  ",Mechanical Design Engineer Intern,"Some College credit, no degree",USA,80000.00,10000.00,0.00,Male
18-21,4,"Automotive  ",BUSAiness Owner,"Some College credit, no degree",CANADA,82000.00,0.00,0.00,Male
18-21,2,Aviation,Private pilot,Bachelor's Degree,USA,281351.20,0.00,0.00,Male
18-21,1,Aviation,Line Service Representative,"High School Graduate, Diploma or the equivalent (e",USA,31000.00,400.00,0.00,Female
18-21,1,Aviation,"Flight Instructor ",Bachelor's Degree,USA,30000.00,0.00,0.00,Male
18-21,2,aviation,"electronic warfare technician ","High School Graduate, Diploma or the equivalent (e",USA,52000.00,0.00,0.00,Male
18-21,1,Aviation,Aircraft Maintenance Technician - Contractor,"Trade, Technical, Vocational Training",USA,58240.00,0.00,0.00,Male
18-21,1,Aviation,CabinCrew,AssociateDegree,"TURKEY ",86400.00,0.00,0.00,Male
18-21,1,Aviation,Aircraft Maintenance Technician - Contractor,"Trade, Technical, Vocational Training",USA,58240.00,0.00,0.00,Male
18-21,1,Aviation,"Line Maintenance ","Trade, Technical, Vocational Training",USA,101000.00,5000.00,0.00,Male
18-21,4,"Aviation ",Airline Pilot,"High School Graduate, Diploma or the equivalent (e",USA,170000.00,0.00,0.00,Male
18-21,2,Bakery,Wedding Coordinator,"High School Graduate, Diploma or the equivalent (e",USA,34080.00,0.00,0.00,Female
18-21,1,Banking,Customer Service Executive,"HighSchoolGraduate,Diplomaortheequivalent(e.g.GED)",SRILANKA,33000.00,0.00,0.00,Female
18-21,3,Banking,Associate Banker,"SomeCollegecredit,nodegree",USA,70000.00,0.00,0.00,Male
18-21,1,Banking,Bank Teller,"High School Graduate, Diploma or the equivalent (e",USA,34320.00,0.00,500.00,Female
18-21,2,Banking,Financial Service Representative,N/a,CANADA,44009.00,0.00,0.00,Male
18-21,1,Banking,FSR,Associate Degree,USA,29000.00,1000.00,0.00,Male
18-21,3,Banking,Software Engineering Intern,"High School Graduate, Diploma or the equivalent (e",USA,82000.00,0.00,3000.00,Female
18-21,1,Banking,Finance Development Program Analyst,Bachelor's Degree,USA,65000.00,0.00,5000.00,Female
18-21,1,Banking,"Leadership Development Program ",Bachelor's Degree,USA,65000.00,5000.00,5000.00,Female
18-21,1,Banking,Compliance analyst,Bachelor's Degree,ENGLAND,37500.00,500.00,5000.00,Male
18-21,1,Banking,Internal Auditor,Bachelor's Degree,USA,55620.00,3000.00,7500.00,Female
18-21,1,Banking,Corporate Banking Associate,Bachelor's Degree,USA,70000.00,5000.00,7500.00,Male
18-21,1,Banking,"Treasury and Trade Solutions ",Bachelor's Degree,USA,80000.00,0.00,10000.00,Female
18-21,1,Banking,Software Engineering Analyst (Leadership Dev. Prog,Bachelor's Degree,USA,80000.00,0.00,10000.00,Male
18-21,1,Banking,Junior Analyst,Bachelor's Degree,USA,100000.00,10000.00,10000.00,Male
18-21,1,Banking,Analyst,Bachelor's Degree,USA,85000.00,0.00,10000.00,Female
18-21,1,Banking,Associate Banker,Associate Degree,USA,19645.60,0.00,0.00,Female
18-21,2,Banking,Teller,Associate Degree,USA,36000.00,0.00,0.00,Female
18-21,2,Banking,Bank Teller,"Some College credit, no degree",USA,37000.00,0.00,0.00,Female
18-21,1,Banking,Jr accountmanager commercial banking,Bachelor's Degree,NETHERLANDS,43000.00,0.00,0.00,Female
18-21,1,Banking,"Loan Opener ","Some College credit, no degree",USA,50000.00,0.00,0.00,Female
18-21,1,Banking,"CUSAtomer service advisor ",Bachelor's Degree,AUSTRALIA,55000.00,0.00,0.00,Female
18-21,1,Banking,Lending Analyst,Bachelor's Degree,AUSTRALIA,56000.00,0.00,0.00,Female
18-21,1,Banking,"Analyst ",Bachelor's Degree,USA,92000.00,0.00,0.00,Female
18-21,1,Banking,Teller,"High School Graduate, Diploma or the equivalent (e",USA,45000.00,0.00,0.00,Female
18-21,1,Banking,"Finance program ",Bachelor's Degree,USA,68000.00,0.03,0.00,Female
18-21,1,banking,bank teller 1,"High School Graduate, Diploma or the equivalent (e",USA,11000.00,150.00,0.00,Female
18-21,2,Banking,Teller,No Schooling Completed,CANADA,18000.00,400.00,0.00,Female
18-21,1,Banking,Call Center Rep,"Some College credit, no degree",USA,30000.00,960.00,0.00,Female
18-21,1,Banking,CSR,"Some College credit, no degree",USA,21600.00,1000.00,0.00,Female
18-21,1,Banking,Banker,"Some College credit, no degree",USA,33000.00,1000.00,0.00,Female
18-21,3,Banking,"Retail Services Assistant / Account Specialist ",Associate Degree,USA,38500.00,1000.00,0.00,Female
18-21,4,Banking,Relationship banker,"High School Graduate, Diploma or the equivalent (e",USA,42000.00,1000.00,0.00,Female
18-21,1,Banking,"Communications Representative ",Bachelor's Degree,USA,57800.00,1700.00,0.00,Female
18-21,2,Banking,Teller,Master's Degree,USA,42000.00,2800.00,0.00,Female
18-21,2,Banking,Loan Operation specialist,"Some College credit, no degree",USA,42000.00,4000.00,0.00,Female
18-21,2,Banking,"BUSAiness Analyst ",Bachelor's Degree,CANADA,60000.00,4000.00,0.00,Female
18-21,1,Banking,Financial Advisor,Bachelor's Degree,CANADA,43500.00,4300.00,0.00,Female
18-21,1,Banking,"Collections Representative ","Some College credit, no degree",USA,37440.00,4400.00,0.00,Female
18-21,1,Banking,Credit analyst,Bachelor's Degree,USA,75000.00,20000.00,0.00,Female
18-21,4,Banking,Banker,"Some High School, No Diploma",USA,100000.00,100000.00,0.00,Female
18-21,1,Banking,BUSAiness Analyst,Bachelor's Degree,CANADA,45000.00,0.00,0.00,Male
18-21,1,Banking,Product Manager,Bachelor's Degree,USA,74500.00,0.00,0.00,Male
18-21,1,Banking,Teller,"High School Graduate, Diploma or the equivalent (e",CANADA,25000.00,1000.00,0.00,Male
18-21,1,Banking,Accountant,Bachelor's Degree,USA,51800.00,2000.00,0.00,Male
18-21,1,"Banking ","Strategy and Management Analyst  ",Bachelor's Degree,USA,85000.00,0.00,10000.00,Male
18-21,3,"Banking ",FSR,"Some College credit, no degree",USA,30000.00,0.00,0.00,Female
18-21,1,"Banking ","Analyst ",Bachelor's Degree,USA,61000.00,500.00,0.00,Female
18-21,1,"Banking ",Teller,"Some College credit, no degree",USA,30000.00,2000.00,0.00,Female
18-21,3,"Banking ",Relationship Banker,"High School Graduate, Diploma or the equivalent (e",USA,50000.00,5000.00,0.00,Male
18-21,1,"Banking ",Investment Analyst (SUMMER INTERN - ASSET & WEALTH,Bachelor's Degree,USA,75000.00,0.00,0.00,Male
18-21,1,"Banking ","Personal Banker ",Associate Degree,USA,41600.00,5000.00,0.00,Female
18-21,1,"Banking ",Personal Banker,Bachelor's Degree,USA,35000.00,0.00,1000.00,Male
18-21,1,"Banking ","On Site Control Analyst ",Bachelor's Degree,USA,187200.00,18.00,0.00,Female
18-21,1,"Banking ","Software Engineering ",Bachelor's Degree,USA,115000.00,0.00,10000.00,Female
18-21,2,"Banking ",Loan Servicer II,"Some College credit, no degree",USA,42000.00,0.00,0.00,Male
18-21,1,"Banking ",CUSAtomer experience analyst,Bachelor's Degree,USA,50000.00,5000.00,0.00,Female
18-21,2,"Banking ",Case Manager,"Some College credit, no degree",AUSTRALIA,68000.00,401769.00,0.00,Male
18-21,3,Barista,Barista,"Some College credit, no degree",USA,15000.00,200.00,0.00,Male
18-21,2,Beauty,Makeup Artist,"High School Graduate, Diploma or the equivalent (e",USA,50000.00,0.00,0.00,Female
18-21,3,Beauty,beauty and laser therapist,"High School Graduate, Diploma or the equivalent (e",AUSTRALIA,55354.00,0.00,0.00,Female
18-21,1,Beauty,CEO,"High School Graduate, Diploma or the equivalent (e",USA,68000.00,0.00,0.00,Female
18-21,1,Beauty,"regional marketing executive ","High School Graduate, Diploma or the equivalent (e",SINGAPORE,27600.00,2300.00,0.00,Female
18-21,1,Beauty,"salon assistant ","Trade, Technical, Vocational Training",USA,25000.00,0.00,0.00,Female
18-21,1,Beauty,"International marketing associate ",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
18-21,2,Beauty,"Social media coordinator ",Bachelor's Degree,USA,40000.00,0.00,0.00,Female
18-21,2,Beauty,"Hairstylist ","Trade, Technical, Vocational Training",USA,100000.00,0.00,0.00,Female
18-21,2,Beauty,Esthetician Waxer,"High School Graduate, Diploma or the equivalent (e",USA,34000.00,0.00,0.00,Female
18-21,3,Beauty,Beauty. Advisor,Bachelor's Degree,USA,18000.00,0.00,0.00,Female
18-21,2,Beauty,Channel Marketing Coordinator,Bachelor's Degree,USA,53000.00,5000.00,0.00,Female
18-21,1,Beauty,"Placement and Marketing ","Trade, Technical, Vocational Training",USA,31200.00,0.00,0.00,Female
18-21,1,Health Care,"Registered behavioral technician ","Some College credit, no degree",USA,39000.00,1000.00,100.00,Female
18-21,1,BioTechnology,Onboarding administrator (HR),Bachelor's Degree,USA,62400.00,0.07,0.00,Male
18-21,1,Pharma,"IndUSAtrial Engineer ",Bachelor's Degree,USA,80000.00,8000.00,0.00,Female
18-21,3,Biology,Manager,"Some College credit, no degree",USA,18000.00,0.00,0.00,Female
18-21,1,Biology,Research Assistant,"Some College credit, no degree",USA,42000.00,0.00,0.00,Female
18-21,1,Biomed,Lab tech,Associate Degree,CANADA,36000.00,0.00,0.00,Female
18-21,2,"Biopharmaceutical ",Human Resources,Bachelor's Degree,USA,70000.00,10000.00,10000.00,Female
18-21,1,BioTechnology,Engineer,Bachelor's Degree,USA,68000.00,0.00,0.00,Female
18-21,2,BioTechnology,Research Associate,Bachelor's Degree,USA,64000.00,0.00,0.00,Female
18-21,4,BioTechnology,N/A,"Some College credit, no degree",USA,50000.00,2000.00,0.00,Female
18-21,3,BioTechnology,Research Associate 1,Bachelor's Degree,USA,57500.00,0.00,0.00,Male
18-21,3,Blockchain,Project Manager,Bachelor's Degree,USA,95000.00,10000.00,15000.00,Male
18-21,1,Blue Collar,"Kitchen Painter ","High School Graduate, Diploma or the equivalent (e",USA,52000.00,0.00,0.00,Male
18-21,1,BPO,CUSAtomer service financial account,"High School Graduate, Diploma or the equivalent (e",PHILIPPINES,193440.00,10000.00,0.00,Female
18-21,1,Broadcast Journalism,Morning Show Producer,Bachelor's Degree,USA,46000.00,0.00,0.00,Female
18-21,2,Broadcasting,Student Operator,"Some College credit, no degree",USA,14000.00,0.00,0.00,Female
18-21,3,Bursar,Burser's Aide,"High School Graduate, Diploma or the equivalent (e",USA,18000.00,0.00,0.00,Female
18-21,1,Business,Consulting,Bachelor's Degree,USA,75000.00,0.00,5000.00,Female
18-21,1,Business,Sales Operations Intern,"Some College credit, no degree",USA,15600.00,0.00,0.00,Female
18-21,1,Business,Health Client Specialist,Bachelor's Degree,USA,60000.00,0.00,0.00,Female
18-21,1,Business,Contractor,Bachelor's Degree,USA,104000.00,0.00,0.00,Female
18-21,5,Business,"Executive Assistant ",Associate Degree,USA,33500.00,500.00,0.00,Female
18-21,2,Business,CUSAtomer Experience Associate,"High School Graduate, Diploma or the equivalent (e",CANADA,38000.00,3000.00,0.00,Male
18-21,1,"Business ","Associate Consultant ",Master's Degree,USA,85000.00,16000.00,5000.00,Female
18-21,2,"Business ",Marketing Intern,"High School Graduate, Diploma or the equivalent (e",USA,20000.00,0.00,0.00,Female
18-21,1,"Business ","Associate Banker ",Bachelor's Degree,USA,33000.00,0.00,0.00,Female
18-21,1,"Business ",Small BUSAiness owner,"Some College credit, no degree",USA,50000.00,0.00,0.00,Female
18-21,9,"Business ",CEO,Bachelor's Degree,USA,850000.00,5000.00,0.00,Male
18-21,1,"Business ","Analyst ",Bachelor's Degree,USA,65000.00,0.00,0.00,Female
18-21,1,"Business ",Summer 2022 BUSAiness Technology Intern,"Some College credit, no degree",USA,54000.00,0.00,0.00,Female
18-21,3,"Business ","Area Manager ",Bachelor's Degree,USA,60000.00,0.00,5000.00,Female
18-21,2,"Cable ",Sales rep,"Some College credit, no degree",USA,60000.00,0.00,0.00,Male
18-21,2,"Call center ",Call center agent,"High School Graduate, Diploma or the equivalent (e",USA,28000.00,0.00,0.00,Female
18-21,5,Call Centre,Entry Level Call Centre Job,No Schooling Completed,AUSTRALIA,88000.00,0.00,0.00,Male
18-21,1,Campground,General Manager,Bachelor's Degree,USA,38000.00,0.00,0.00,Female
18-21,4,"Cannabis ",Budtender / Lead Manager,"High School Graduate, Diploma or the equivalent (e",USA,43200.00,0.00,0.00,Female
18-21,3,Automotive,"Appointment coordinator ","Some College credit, no degree",USA,24000.00,0.00,0.00,Female
18-21,1,Automotive,Title clerk,"Some College credit, no degree",USA,38000.00,0.00,0.00,Female
18-21,1,Automotive,"Finance representative ","High School Graduate, Diploma or the equivalent (e",USA,33600.00,9600.00,0.00,Female
18-21,3,Automotive,Car Sales Man,"High School Graduate, Diploma or the equivalent (e",USA,100000.00,20000.00,0.00,Female
18-21,2,Automotive,Client Advisor,"High School Graduate, Diploma or the equivalent (e",USA,150000.00,20000.00,0.00,Male
18-21,1,Automotive,Manufacturing technician,"Some College credit, no degree",USA,60000.00,0.00,0.00,Male
18-21,1,Automotive,Salesman,"Some College credit, no degree",USA,100000.00,0.00,0.00,Female
18-21,1,Automotive,Salesman,Bachelor's Degree,USA,24000.00,27000.00,0.00,Female
18-21,1,Automotive,CUSAtomer Advisor,"High School Graduate, Diploma or the equivalent (e",USA,29000.00,500.00,0.00,Male
18-21,4,Education,"Nanny/ pre k tutor ","Some College credit, no degree",USA,30000.00,2.00,0.00,Female
